NR,air_hour,DataTime
698,1,18:04:01 16.07.2020
699,33,19:04:01 16.07.2020
700,1,20:04:01 16.07.2020
701,32,21:04:01 16.07.2020
702,32,22:04:01 16.07.2020
703,31,23:04:01 16.07.2020
704,33,00:04:01 17.07.2020
705,1,01:04:01 17.07.2020
706,33,02:04:01 17.07.2020
707,34,03:04:01 17.07.2020
708,32,04:04:01 17.07.2020
709,33,05:04:01 17.07.2020
710,31,06:04:01 17.07.2020
711,32,07:04:01 17.07.2020
712,32,08:04:01 17.07.2020
713,32,09:04:01 17.07.2020
714,34,10:04:01 17.07.2020
715,32,11:04:01 17.07.2020
716,31,12:04:01 17.07.2020
717,31,13:04:01 17.07.2020
718,1,14:04:01 17.07.2020
719,1,15:04:01 17.07.2020
720,1,16:04:01 17.07.2020
721,31,17:04:01 17.07.2020
722,1,18:04:01 17.07.2020
723,1,19:04:01 17.07.2020
724,1,20:04:01 17.07.2020
725,1,21:04:01 17.07.2020
726,1,22:04:01 17.07.2020
727,1,23:04:01 17.07.2020
728,1,00:04:01 18.07.2020
729,1,01:04:01 18.07.2020
730,1,02:04:01 18.07.2020
731,1,03:04:01 18.07.2020
732,1,04:04:01 18.07.2020
733,1,05:04:01 18.07.2020
734,1,06:04:01 18.07.2020
735,1,07:04:01 18.07.2020
736,1,08:04:01 18.07.2020
737,1,09:04:01 18.07.2020
738,1,10:04:01 18.07.2020
739,1,11:04:01 18.07.2020
740,1,12:04:01 18.07.2020
741,1,13:04:01 18.07.2020
742,1,14:04:01 18.07.2020
743,1,15:04:01 18.07.2020
744,1,16:04:01 18.07.2020
745,1,17:04:01 18.07.2020
746,1,18:04:01 18.07.2020
747,1,19:04:01 18.07.2020
748,1,20:04:01 18.07.2020
749,1,21:04:01 18.07.2020
750,1,22:04:01 18.07.2020
751,1,23:04:01 18.07.2020
752,1,00:04:01 19.07.2020
753,1,01:04:01 19.07.2020
754,1,02:04:01 19.07.2020
755,1,03:04:01 19.07.2020
756,1,04:04:01 19.07.2020
757,1,05:04:01 19.07.2020
758,1,06:04:01 19.07.2020
759,1,07:04:01 19.07.2020
760,1,08:04:01 19.07.2020
761,1,09:04:01 19.07.2020
762,1,10:04:01 19.07.2020
763,1,11:04:01 19.07.2020
764,1,12:04:01 19.07.2020
765,1,13:04:01 19.07.2020
766,1,14:04:01 19.07.2020
767,1,15:04:01 19.07.2020
768,1,16:04:01 19.07.2020
769,1,17:04:01 19.07.2020
770,1,18:04:01 19.07.2020
771,1,19:04:01 19.07.2020
772,1,20:04:01 19.07.2020
773,1,21:04:01 19.07.2020
774,1,22:04:01 19.07.2020
775,1,23:04:01 19.07.2020
776,1,00:04:01 20.07.2020
777,1,01:04:01 20.07.2020
778,1,02:04:01 20.07.2020
779,1,03:04:01 20.07.2020
780,1,04:04:01 20.07.2020
